ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,rating_count
0671016652,Three Wishes,Barbara Delinsky,1998,Pocket,http://images.amazon.com/images/P/0671016652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671016652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671016652.01.LZZZZZZZ.jpg,64
0312099436,Women of the Silk : A Novel,Gail Tsukiyama,1993,St. Martin's Griffin,http://images.amazon.com/images/P/0312099436.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312099436.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312099436.01.LZZZZZZZ.jpg,52
0553212478,Frankenstein (Changing Our World),Mary Wollstonecraft Shelley,1984,Bantam,http://images.amazon.com/images/P/0553212478.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553212478.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553212478.01.LZZZZZZZ.jpg,66
0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,Tyndale House Publishers,http://images.amazon.com/images/P/0842329242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.LZZZZZZZ.jpg,126
0425168298,Secret Prey,John Sandford,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425168298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425168298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425168298.01.LZZZZZZZ.jpg,81
0671689746,Sweet Liar,Jude Deveraux,1993,Pocket,http://images.amazon.com/images/P/0671689746.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671689746.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671689746.01.LZZZZZZZ.jpg,54
1551664348,Montana,Debbie Macomber,1998,Mira,http://images.amazon.com/images/P/1551664348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551664348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551664348.01.LZZZZZZZ.jpg,52
0061099732,Outer Banks,Anne Rivers Siddons,1992,HarperTorch,http://images.amazon.com/images/P/0061099732.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099732.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099732.01.LZZZZZZZ.jpg,73
0385729332,The Sisterhood of the Traveling Pants,Ann Brashares,2001,Delacorte Press,http://images.amazon.com/images/P/0385729332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385729332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385729332.01.LZZZZZZZ.jpg,73
1551667010,The Soul Catcher: A Maggie O'Dell Novel,Alex Kava,2003,Mira,http://images.amazon.com/images/P/1551667010.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551667010.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551667010.01.LZZZZZZZ.jpg,62
0425168220,"State of Siege (Tom Clancy's Op-Center, 6)",Tom Clancy,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425168220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425168220.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425168220.01.LZZZZZZZ.jpg,69
0440220793,The 13th Juror,John T. Lescroart,1995,Dell,http://images.amazon.com/images/P/0440220793.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220793.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220793.01.LZZZZZZZ.jpg,58
0425146413,Night Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425146413.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425146413.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425146413.01.LZZZZZZZ.jpg,85
0345333926,Ringworld,Larry Niven,1990,Del Rey Books,http://images.amazon.com/images/P/0345333926.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345333926.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345333926.01.LZZZZZZZ.jpg,59
0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island,http://images.amazon.com/images/P/0440225825.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225825.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225825.01.LZZZZZZZ.jpg,89
0679731725,The Remains of the Day (Vintage International),Kazuo Ishiguro,1993,Vintage Books USA,http://images.amazon.com/images/P/0679731725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731725.01.LZZZZZZZ.jpg,102
015100692X,The Crimson Petal and the White,Michel Faber,2002,Harcourt,http://images.amazon.com/images/P/015100692X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/015100692X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/015100692X.01.LZZZZZZZ.jpg,91
155166884X,Doing Good,Pamela Morsi,2002,Mira Books,http://images.amazon.com/images/P/155166884X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155166884X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155166884X.01.LZZZZZZZ.jpg,53
0385314698,The Sixteen Pleasures: A Novel,Robert Hellenga,1995,Delta,http://images.amazon.com/images/P/0385314698.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385314698.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385314698.01.LZZZZZZZ.jpg,79
0679457526,Into Thin Air : A Personal Account of the Mount Everest Disaster,JON KRAKAUER,1997,Villard,http://images.amazon.com/images/P/0679457526.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679457526.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679457526.01.LZZZZZZZ.jpg,75
0446610550,The Playboy,Carly Phillips,2003,Warner Forever,http://images.amazon.com/images/P/0446610550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610550.01.LZZZZZZZ.jpg,78
0440207770,Silver Wedding,Maeve Binchy,1990,Dell,http://images.amazon.com/images/P/0440207770.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440207770.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440207770.01.LZZZZZZZ.jpg,75
0316769509,Nine Stories,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769509.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769509.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769509.01.LZZZZZZZ.jpg,62
0671534718,Melody (Logan),V.C. Andrews,1996,Pocket,http://images.amazon.com/images/P/0671534718.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671534718.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671534718.01.LZZZZZZZ.jpg,71
0671741187,Where Are the Children?,Mary Higgins Clark,1992,Pocket,http://images.amazon.com/images/P/0671741187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671741187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671741187.01.LZZZZZZZ.jpg,90
0440235154,Where You Belong,Barbara Taylor Bradford,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440235154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235154.01.LZZZZZZZ.jpg,59
0446353957,Mirror Image,Sandra Brown,1990,Warner Books,http://images.amazon.com/images/P/0446353957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446353957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446353957.01.LZZZZZZZ.jpg,59
0743411323,Never Change,Elizabeth Berg,2001,Atria,http://images.amazon.com/images/P/0743411323.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743411323.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743411323.01.LZZZZZZZ.jpg,50
0380727293,Dr. Atkins' New Diet Revolution,Robert C. Atkins,1997,Avon Books,http://images.amazon.com/images/P/0380727293.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380727293.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380727293.01.LZZZZZZZ.jpg,59
0446603422,Stormy Weather,Carl Hiaasen,1996,Warner Books,http://images.amazon.com/images/P/0446603422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446603422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446603422.01.LZZZZZZZ.jpg,74
0684195984,FROM POTTER'S FIELD,Patricia Cornwell,1995,Scribner,http://images.amazon.com/images/P/0684195984.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684195984.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684195984.01.LZZZZZZZ.jpg,74
0399141464,Cause of Death,Patricia Daniels Cornwell,1996,Putnam Pub Group,http://images.amazon.com/images/P/0399141464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399141464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399141464.01.LZZZZZZZ.jpg,77
0553572202,Self-Defense (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1995,Bantam Books,http://images.amazon.com/images/P/0553572202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572202.01.LZZZZZZZ.jpg,67
0440343194,Illusions,Richard Bach,1981,Bantam Doubleday Dell,http://images.amazon.com/images/P/0440343194.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440343194.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440343194.01.LZZZZZZZ.jpg,56
0451204301,Impulse,Catherine Coulter,2001,Signet Book,http://images.amazon.com/images/P/0451204301.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451204301.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451204301.01.LZZZZZZZ.jpg,64
0842329269,Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842329269.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329269.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329269.01.LZZZZZZZ.jpg,83
0449205878,Poland,James A. Michener,1990,Fawcett Books,http://images.amazon.com/images/P/0449205878.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449205878.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449205878.01.LZZZZZZZ.jpg,69
0552996181,Behind the Scenes at the Museum,Kate Atkinson,1996,Black Swan,http://images.amazon.com/images/P/0552996181.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552996181.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552996181.01.LZZZZZZZ.jpg,75
0312265859,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Press,http://images.amazon.com/images/P/0312265859.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265859.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265859.01.LZZZZZZZ.jpg,104
0425165701,Ruthless.Com (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425165701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425165701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425165701.01.LZZZZZZZ.jpg,82
0425148297,Naked in Death,J. D. Robb,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425148297.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425148297.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425148297.01.LZZZZZZZ.jpg,74
0515119202,Daring to Dream,Nora Roberts,1996,Jove Books,http://images.amazon.com/images/P/0515119202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515119202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515119202.01.LZZZZZZZ.jpg,68
044022473X,Breach of Promise,Perri O'Shaughnessy,1999,Island,http://images.amazon.com/images/P/044022473X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022473X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044022473X.01.LZZZZZZZ.jpg,56
0345316509,Job: A Comedy of Justice,Robert A. Heinlein,1990,Del Rey Books,http://images.amazon.com/images/P/0345316509.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345316509.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345316509.01.LZZZZZZZ.jpg,54
0425077047,And Ladies of the Club,Helen Hooven Santmyer,1985,Penguin Putnam~mass,http://images.amazon.com/images/P/0425077047.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425077047.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425077047.01.LZZZZZZZ.jpg,50
0812543262,Relic,Douglas Preston,2003,Tor Books,http://images.amazon.com/images/P/0812543262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812543262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812543262.01.LZZZZZZZ.jpg,83
0740723367,The Meaning Of Life,Bradley Trevor Greive,2002,Andrews McMeel Publishing,http://images.amazon.com/images/P/0740723367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0740723367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0740723367.01.LZZZZZZZ.jpg,50
0061091790,After All These Years,Susan Isaacs,1994,HarperTorch,http://images.amazon.com/images/P/0061091790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061091790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061091790.01.LZZZZZZZ.jpg,74
0440236851,The Wedding,Danielle Steel,2001,Dell Publishing Company,http://images.amazon.com/images/P/0440236851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236851.01.LZZZZZZZ.jpg,73
0425151867,Acceptable Risk,Robin Cook,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425151867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425151867.01.LZZZZZZZ.jpg,100
0312982518,The Sigma Protocol,Robert Ludlum,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312982518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312982518.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312982518.01.LZZZZZZZ.jpg,103
0425180050,Tom Clancy's Op-Center: Line of Control (Tom Clancy's Op Center (Paperback)),Jeff Rovin,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425180050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425180050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425180050.01.LZZZZZZZ.jpg,60
0446609943,The Switch,Sandra Brown,2001,Warner Vision,http://images.amazon.com/images/P/0446609943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446609943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446609943.01.LZZZZZZZ.jpg,91
042518286X,Shock,Robin Cook,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518286X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518286X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518286X.01.LZZZZZZZ.jpg,89
0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books,http://images.amazon.com/images/P/0553250426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553250426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553250426.01.LZZZZZZZ.jpg,216
0373243286,"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373243286.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373243286.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373243286.01.LZZZZZZZ.jpg,83
0440117437,Now and Forever,Danielle Steel,1978,Dell,http://images.amazon.com/images/P/0440117437.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440117437.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440117437.01.LZZZZZZZ.jpg,60
0446363251,"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,Warner Books,http://images.amazon.com/images/P/0446363251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.LZZZZZZZ.jpg,114
0679785892,Fear and Loathing in Las Vegas : A Savage Journey to the Heart of the American Dream,HUNTER S. THOMPSON,1998,Vintage Books,http://images.amazon.com/images/P/0679785892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679785892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679785892.01.LZZZZZZZ.jpg,57
1885171080,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995,Wildcat Canyon Press,http://images.amazon.com/images/P/1885171080.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1885171080.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1885171080.01.LZZZZZZZ.jpg,62
0393319296,Invisible Monsters,Chuck Palahniuk,1999,W.W. Norton &amp; Company,http://images.amazon.com/images/P/0393319296.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393319296.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393319296.01.LZZZZZZZ.jpg,61
0670858692,Rose Madder,Stephen King,1995,Viking Books,http://images.amazon.com/images/P/0670858692.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670858692.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670858692.01.LZZZZZZZ.jpg,66
051512219X,Small Town Girl,Lavyrle Spencer,1998,Jove Books,http://images.amazon.com/images/P/051512219X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051512219X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051512219X.01.LZZZZZZZ.jpg,86
0671525743,Night Whispers,Judith McNaught,1999,Pocket,http://images.amazon.com/images/P/0671525743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671525743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671525743.01.LZZZZZZZ.jpg,98
067101417X,High Tide,Jude Deveraux,2000,Pocket,http://images.amazon.com/images/P/067101417X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067101417X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067101417X.01.LZZZZZZZ.jpg,61
0345442822,Angry Housewives Eating Bon Bons (Ballantine Reader's Circle),LORNA LANDVIK,2004,Ballantine Books,http://images.amazon.com/images/P/0345442822.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345442822.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345442822.01.LZZZZZZZ.jpg,69
0140440046,Candide (Penguin Classics),Francois M. Voltaire,1990,Penguin Books,http://images.amazon.com/images/P/0140440046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140440046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140440046.01.LZZZZZZZ.jpg,53
0812509250,Xenocide (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,http://images.amazon.com/images/P/0812509250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812509250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812509250.01.LZZZZZZZ.jpg,62
0553278029,A Great Deliverance,Elizabeth George,1989,Bantam Books,http://images.amazon.com/images/P/0553278029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.LZZZZZZZ.jpg,97
0515133639,The Absence of Nectar,Kathy Hepinstall,2002,Jove Books,http://images.amazon.com/images/P/0515133639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515133639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515133639.01.LZZZZZZZ.jpg,62
0440217466,Vanished,Danielle Steel,1994,Dell,http://images.amazon.com/images/P/0440217466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440217466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440217466.01.LZZZZZZZ.jpg,68
0440223202,Evening Class,Maeve Binchy,1998,Dell Publishing Company,http://images.amazon.com/images/P/0440223202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223202.01.LZZZZZZZ.jpg,156
0140042598,On the Road,Jack Kerouac,1991,Penguin Books,http://images.amazon.com/images/P/0140042598.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140042598.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140042598.01.LZZZZZZZ.jpg,101
0425119920,Strangers,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425119920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425119920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425119920.01.LZZZZZZZ.jpg,59
0553566040,Missing Joseph,Elizabeth George,1994,Bantam Books,http://images.amazon.com/images/P/0553566040.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553566040.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553566040.01.LZZZZZZZ.jpg,56
0743431030,Mother of Pearl,Melinda Haynes,2001,Pocket,http://images.amazon.com/images/P/0743431030.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743431030.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743431030.01.LZZZZZZZ.jpg,55
0446600474,Season of the Machete,James Patterson,1995,Warner Books,http://images.amazon.com/images/P/0446600474.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446600474.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446600474.01.LZZZZZZZ.jpg,73
0446364800,The General's Daughter,Nelson DeMille,1993,Warner Books,http://images.amazon.com/images/P/0446364800.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364800.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364800.01.LZZZZZZZ.jpg,129
0345434803,"The Vampire Armand (The Vampire Chronicles, Book 6)",Anne Rice,2000,Ballantine Books,http://images.amazon.com/images/P/0345434803.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345434803.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345434803.01.LZZZZZZZ.jpg,61
051510521X,Bitter Sweet,LaVyrle Spencer,1995,Jove Books,http://images.amazon.com/images/P/051510521X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051510521X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051510521X.01.LZZZZZZZ.jpg,54
0446354678,Memories of Midnight,Sidney Sheldon,1991,Warner Books,http://images.amazon.com/images/P/0446354678.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446354678.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446354678.01.LZZZZZZZ.jpg,56
0553265741,Sacred Sins,Nora Roberts,1990,Bantam Books,http://images.amazon.com/images/P/0553265741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553265741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553265741.01.LZZZZZZZ.jpg,98
014100018X,Chocolat,Joanne Harris,2000,Penguin Books,http://images.amazon.com/images/P/014100018X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014100018X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg,139
0441172695,"Dune Messiah (Dune Chronicles, Book 2)",Frank Herbert,1994,ACE Charter,http://images.amazon.com/images/P/0441172695.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441172695.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441172695.01.LZZZZZZZ.jpg,62
0446356832,The Sands of Time,Sidney Sheldon,1989,Warner Books,http://images.amazon.com/images/P/0446356832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446356832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446356832.01.LZZZZZZZ.jpg,84
0440236061,Unfit to Practice,Perri O'Shaughnessy,2003,Dell Publishing Company,http://images.amazon.com/images/P/0440236061.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236061.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236061.01.LZZZZZZZ.jpg,74
0553583441,Touching Evil,Kay Hooper,2001,Bantam Books,http://images.amazon.com/images/P/0553583441.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553583441.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553583441.01.LZZZZZZZ.jpg,95
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,http://images.amazon.com/images/P/0786817070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg,159
0553575538,Stealing Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,http://images.amazon.com/images/P/0553575538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553575538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553575538.01.LZZZZZZZ.jpg,68
0064400026,Little House on the Prairie,Laura Ingalls Wilder,1953,HarperTrophy,http://images.amazon.com/images/P/0064400026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400026.01.LZZZZZZZ.jpg,65
0821769340,Cold Blooded,Lisa Jackson,2002,Zebra Books,http://images.amazon.com/images/P/0821769340.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821769340.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821769340.01.LZZZZZZZ.jpg,53
0316779423,Barrel Fever : Stories and Essays (Barrel Fever),David Sedaris,1995,Back Bay Books,http://images.amazon.com/images/P/0316779423.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316779423.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316779423.01.LZZZZZZZ.jpg,83
0060085444,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,2002,Avon,http://images.amazon.com/images/P/0060085444.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060085444.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060085444.01.LZZZZZZZ.jpg,67
0670869902,How Stella Got Her Groove Back,Terry McMillan,1996,Viking Books,http://images.amazon.com/images/P/0670869902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.LZZZZZZZ.jpg,70
0064401847,Bridge to Terabithia,Katherine Paterson,1987,HarperTrophy,http://images.amazon.com/images/P/0064401847.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064401847.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064401847.01.LZZZZZZZ.jpg,80
0553569074,Wouldn't Take Nothing for My Journey Now,Maya Angelou,1994,Bantam Books,http://images.amazon.com/images/P/0553569074.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553569074.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553569074.01.LZZZZZZZ.jpg,51
0440514428,Cold Sassy Tree,Olive Ann Burns,1986,Dell Publishing Company,http://images.amazon.com/images/P/0440514428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440514428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440514428.01.LZZZZZZZ.jpg,66
